date,evening_price,morning_price
2019-10-13,4286.0,4284.0
2019-10-14,4286.0,4301.0
2019-10-15,4222.0,4270.0
2019-10-16,4261.0,4244.0
2019-10-17,4271.0,4271.0
2019-10-20,4313.0,4267.0
2019-10-21,4291.0,4279.0
2019-10-22,4277.0,4280.0
2019-10-23,4277.0,4274.0
2019-10-24,4380.0,4346.0
2019-10-27,4385.0,4379.0
2019-10-28,4317.0,4325.0
2019-10-29,4330.0,4333.0
2019-10-30,4344.0,4345.0
2019-10-31,4366.0,4370.0
2019-11-03,4368.0,4373.0
2019-11-04,4347.0,4353.0
2019-11-05,4223.0,4235.0
2019-11-06,4249.0,4248.0
2019-11-07,4098.0,4083.0
2019-11-10,4072.0,4075.0
2019-11-11,4044.0,4077.0
2019-11-12,4095.0,4073.0
2019-11-13,4110.0,4089.0
2019-11-14,4065.0,4104.0
2019-11-17,4068.0,4076.0
2019-11-18,4135.0,4101.0
2019-11-19,4122.0,4132.0
2019-11-20,4115.0,4134.0
2019-11-21,4108.0,4109.0
2019-11-24,4070.0,4084.0
2019-11-25,4080.0,4052.0
2019-11-26,4096.0,4104.0
2019-11-27,4095.0,4098.0
2019-11-28,4092.0,4090.0
2019-12-01,4084.0,4088.0
2019-12-02,4082.0,4092.0
2019-12-03,4193.0,4164.0
2019-12-04,4124.0,4125.0
2019-12-05,4094.0,4124.0
2019-12-08,4032.0,4032.0
2019-12-09,4037.0,4038.0
2019-12-10,4035.0,4037.0
2019-12-11,4088.0,4100.0
2019-12-12,4062.0,4064.0
2019-12-15,4109.0,4084.0
2019-12-16,4113.0,4099.0
2019-12-17,4111.0,4100.0
2019-12-18,4103.0,4110.0
2019-12-19,4123.0,4112.0
2019-12-22,4172.0,4150.0
2019-12-23,4247.0,4192.0
2019-12-24,4269.0,4269.0
2019-12-25,4325.0,4265.0
2019-12-26,4286.0,4311.0
2019-12-29,4313.0,4314.0
2019-12-30,4352.0,4343.0
2020-01-01,4293.0,4298.0
2020-01-02,4376.0,4339.0
2020-01-05,4452.0,4442.0
2020-01-06,4367.0,4372.0
2020-01-07,4458.0,4467.0
2020-01-08,4281.0,4358.0
2020-01-09,4274.0,4280.0
2020-01-12,4289.0,4301.0
2020-01-13,4204.0,4213.0
2020-01-14,4235.0,4218.0
2020-01-15,4247.0,4264.0
2020-01-16,4255.0,4251.0
2020-01-19,4262.0,4258.0
2020-01-20,4290.0,4285.0
2020-01-21,4218.0,4221.0
2020-01-22,4221.0,4229.0
2020-02-02,4273.0,4286.0
2020-02-03,4257.0,4250.0
2020-02-04,4255.0,4233.0
2020-02-05,4244.0,4244.0
2020-02-06,4256.0,4271.0
2020-02-09,4255.0,4264.0
2020-02-10,4260.0,4257.0
2020-02-11,4208.0,4226.0
2020-02-12,4241.0,4224.0
2020-02-13,4248.0,4247.0
2020-02-16,4284.0,4272.0
2020-02-17,4285.0,4283.0
2020-02-18,4398.0,4381.0
2020-02-19,4408.0,4396.0
2020-02-20,4462.0,4440.0
2020-02-23,4497.0,4515.0
2020-02-24,4419.0,4465.0
2020-02-25,4359.0,4372.0
2020-02-26,4368.0,4346.0
2020-02-27,4144.0,4249.0
2020-03-01,4079.0,4056.0
2020-03-02,4045.0,4068.0
2020-03-03,4124.0,4123.0
2020-03-04,4112.0,4111.0
2020-03-05,4146.0,4155.0
2020-03-08,3960.0,4095.0
2020-03-09,4057.0,4032.0
2020-03-10,4057.0,4074.0
2020-03-11,3977.0,3998.0
2020-03-12,3764.0,3754.0
2020-03-15,3533.0,3535.0
2020-03-16,3157.0,3164.0
2020-03-17,3023.0,3097.0
2020-03-18,2914.0,2955.0
2020-03-19,3125.0,3015.0
2020-03-22,3126.0,3091.0
2020-03-23,3358.0,3457.0
2020-03-24,3491.0,3487.0
2020-03-25,3514.0,3490.0
2020-03-26,3557.0,3570.0
2020-03-29,3360.0,3367.0
2020-03-30,3417.0,3419.0
2020-03-31,3399.0,3402.0
2020-04-01,3463.0,3413.0
2020-04-02,3543.0,3549.0
2020-04-06,3755.0,3738.0
2020-04-07,3703.0,3686.0
2020-04-08,3703.0,3695.0
2020-04-09,3749.0,3754.0
2020-04-12,3698.0,3704.0
2020-04-13,3781.0,3743.0
2020-04-14,3796.0,3810.0
2020-04-15,3768.0,3728.0
2020-04-16,3659.0,3732.0
2020-04-19,3665.0,3647.0
2020-04-20,3695.0,3710.0
2020-04-21,3573.0,3585.0
2020-04-22,3707.0,3683.0
2020-04-23,3689.0,3685.0
2020-04-26,3707.0,3703.0
2020-04-27,3607.0,3640.0
2020-04-28,3656.0,3656.0
2020-04-29,3694.0,3669.0
2020-05-05,3678.0,3658.0
2020-05-06,3645.0,3654.0
2020-05-07,3777.0,3755.0
2020-05-10,3768.0,3788.0
2020-05-11,3762.0,3752.0
2020-05-12,3779.0,3765.0
2020-05-13,3785.0,3772.0
2020-05-14,3973.0,3920.0
2020-05-17,4215.0,4180.0
2020-05-18,4152.0,4151.0
2020-05-19,4273.0,4285.0
2020-05-20,4161.0,4231.0
2020-05-21,4105.0,4102.0
2020-05-24,4124.0,4169.0
2020-05-25,4247.0,4238.0
2020-05-26,4165.0,4188.0
2020-05-27,4236.0,4229.0
2020-05-28,4247.0,4246.0
2020-05-31,4452.0,4402.0
2020-06-01,4413.0,4411.0
2020-06-02,4332.0,4335.0
2020-06-03,4250.0,4279.0
2020-06-04,4276.0,4286.0
2020-06-07,4274.0,4226.0
2020-06-08,4250.0,4259.0
2020-06-09,4281.0,4273.0
2020-06-10,4297.0,4318.0
2020-06-11,4240.0,4207.0
2020-06-14,4135.0,4230.0
2020-06-15,4171.0,4166.0
2020-06-16,4203.0,4195.0
2020-06-17,4212.0,4215.0
2020-06-18,4219.0,4194.0
2020-06-21,4307.0,4335.0
2020-06-22,4274.0,4289.0
2020-06-23,4289.0,4310.0
2020-06-28,4289.0,4304.0
2020-06-29,4287.0,4271.0
2020-06-30,4385.0,4380.0
2020-07-01,4304.0,4311.0
2020-07-02,4312.0,4329.0
2020-07-05,4322.0,4321.0
2020-07-06,4338.0,4363.0
2020-07-07,4370.0,4367.0
2020-07-08,4461.0,4442.0
2020-07-09,4408.0,4420.0
2020-07-12,4513.0,4459.0
2020-07-13,4517.0,4522.0
2020-07-14,4567.0,4555.0
2020-07-15,4544.0,4558.0
2020-07-16,4491.0,4483.0
2020-07-19,4542.0,4539.0
2020-07-20,4785.0,4668.0
2020-07-21,5272.0,5225.0
2020-07-22,5339.0,5323.0
2020-07-23,5297.0,5326.0
2020-07-26,5665.0,5398.0
2020-07-27,5727.0,6071.0
2020-07-28,5688.0,5708.0
2020-07-29,5593.0,5679.0
2020-07-30,5667.0,5500.0
2020-08-02,5668.0,5663.0
2020-08-03,5675.0,5669.0
2020-08-04,6126.0,6040.0
2020-08-05,6410.0,6250.0
2020-08-06,6639.0,6719.0
2020-08-09,6629.0,6478.0
2020-08-10,6488.0,6691.0
2020-08-11,5786.0,5653.0
2020-08-12,5976.0,5986.0
2020-08-13,6197.0,6323.0
2020-08-16,6148.0,5968.0
2020-08-17,6378.0,6347.0
2020-08-18,6215.0,6282.0
2020-08-19,6063.0,6006.0
2020-08-20,6012.0,6077.0
2020-08-23,5701.0,5747.0
2020-08-24,5774.0,5800.0
2020-08-25,5745.0,5766.0
2020-08-26,5959.0,5948.0
2020-08-27,5973.0,5941.0
2020-08-30,6129.0,6117.0
2020-08-31,6267.0,6211.0
2020-09-01,6157.0,6175.0
2020-09-02,5954.0,6078.0
2020-09-03,5804.0,5908.0
2020-09-06,5880.0,5974.0
2020-09-07,5921.0,5880.0
2020-09-08,5821.0,5851.0
2020-09-09,5909.0,5924.0
